id,cta_stations,police_stations,bus_stations,unemployment,per_capita_income,no_hs_dip,gov_depend,crowded_housing,below_pov,bike_stations
1,4.0,1.0,7.0,0.075,23714,0.181,0.288,0.079,0.2269999999999999,17.0
2,0.0,0.0,2.0,0.079,21375,0.196,0.3829999999999999,0.07,0.151,30.0
3,3.0,0.0,3.0,0.077,32355,0.136,0.222,0.046,0.2269999999999999,15.0
4,4.0,1.0,5.0,0.068,35503,0.125,0.256,0.031,0.095,19.0
5,2.0,0.0,5.0,0.045,51615,0.054,0.255,0.002,0.071,15.0
6,7.0,1.0,20.0,0.047,58227,0.0289999999999999,0.165,0.012,0.105,38.0
7,2.0,0.0,9.0,0.045,71403,0.043,0.204,0.006,0.118,40.0
8,7.0,1.0,26.0,0.052,87163,0.034,0.233,0.02,0.134,53.0
9,0.0,0.0,0.0,0.074,38337,0.085,0.366,0.006,0.051,0.0
10,1.0,0.0,2.0,0.073,31659,0.135,0.406,0.023,0.059,0.0
11,1.0,1.0,1.0,0.09,27280,0.135,0.344,0.019,0.064,0.0
12,0.0,0.0,1.0,0.055,41509,0.063,0.406,0.013,0.061,0.0
13,0.0,0.0,4.0,0.075,24941,0.182,0.397,0.038,0.124,13.0
14,3.0,1.0,2.0,0.09,20355,0.349,0.321,0.1119999999999999,0.171,12.0
15,0.0,0.0,3.0,0.106,23617,0.187,0.346,0.044,0.123,10.0
16,3.0,0.0,6.0,0.103,26713,0.22,0.316,0.0559999999999999,0.108,27.0
17,0.0,0.0,4.0,0.086,26347,0.18,0.349,0.048,0.083,25.0
18,0.0,0.0,1.0,0.108,21257,0.284,0.35,0.0579999999999999,0.128,8.0
19,0.0,1.0,3.0,0.115,15246,0.37,0.369,0.1,0.186,35.0
20,0.0,0.0,0.0,0.129,15411,0.419,0.363,0.084,0.191,9.0
21,1.0,0.0,7.0,0.093,20489,0.257,0.304,0.0579999999999999,0.146,15.0
22,3.0,1.0,5.0,0.075,29026,0.185,0.267,0.032,0.172,31.0
23,0.0,0.0,8.0,0.123,13391,0.368,0.3829999999999999,0.1119999999999999,0.326,24.0
24,4.0,0.0,17.0,0.06,39596,0.134,0.2289999999999999,0.02,0.157,45.0
25,5.0,1.0,14.0,0.21,15920,0.25,0.39,0.057,0.27,52.0
26,2.0,0.0,3.0,0.252,10951,0.262,0.425,0.089,0.4029999999999999,15.0
27,4.0,1.0,6.0,0.1639999999999999,13596,0.262,0.432,0.075,0.397,20.0
28,9.0,1.0,20.0,0.107,41488,0.1119999999999999,0.2289999999999999,0.038,0.216,61.0
29,4.0,1.0,5.0,0.185,12548,0.304,0.409,0.072,0.386,33.0
30,1.0,0.0,5.0,0.115,10697,0.5870000000000001,0.331,0.176,0.281,28.0
31,4.0,0.0,5.0,0.13,15467,0.4429999999999999,0.352,0.104,0.272,15.0
32,16.0,0.0,42.0,0.042,67699,0.034,0.155,0.02,0.111,39.0
33,2.0,1.0,7.0,0.057,60593,0.071,0.21,0.0139999999999999,0.111,15.0
34,2.0,0.0,1.0,0.1159999999999999,16942,0.375,0.379,0.059,0.358,8.0
35,1.0,1.0,2.0,0.1669999999999999,23098,0.1689999999999999,0.31,0.016,0.261,11.0
36,0.0,0.0,0.0,0.266,19312,0.176,0.405,0.035,0.381,1.0
37,2.0,1.0,1.0,0.4,9016,0.337,0.382,0.045,0.555,4.0
38,4.0,0.0,2.0,0.206,22056,0.1939999999999999,0.417,0.027,0.283,19.0
39,0.0,0.0,6.0,0.11,37519,0.108,0.342,0.023,0.231,8.0
40,1.0,0.0,5.0,0.2319999999999999,13087,0.283,0.409,0.049,0.391,8.0
41,0.0,0.0,4.0,0.069,39243,0.053,0.267,0.025,0.182,15.0
42,2.0,1.0,9.0,0.173,18928,0.179,0.376,0.018,0.283,22.0
43,0.0,0.0,10.0,0.177,18366,0.149,0.376,0.0289999999999999,0.315,23.0
44,2.0,0.0,10.0,0.19,20320,0.1369999999999999,0.4,0.022,0.253,33.0
45,0.0,0.0,0.0,0.166,23495,0.133,0.419,0.006,0.1669999999999999,8.0
46,0.0,0.0,3.0,0.177,15393,0.282,0.431,0.059,0.28,20.0
47,0.0,0.0,1.0,0.2339999999999999,13756,0.186,0.4039999999999999,0.055,0.225,2.0
48,0.0,0.0,4.0,0.172,28977,0.1119999999999999,0.423,0.018,0.12,6.0
49,1.0,0.0,9.0,0.178,17974,0.174,0.409,0.031,0.195,31.0
50,0.0,1.0,0.0,0.21,19007,0.156,0.42,0.0139999999999999,0.201,14.0
51,0.0,1.0,9.0,0.118,15506,0.2189999999999999,0.414,0.06,0.245,18.0
52,0.0,0.0,1.0,0.145,15347,0.355,0.425,0.083,0.187,24.0
53,0.0,0.0,0.0,0.17,16228,0.226,0.422,0.033,0.243,18.0
54,0.0,0.0,0.0,0.264,8535,0.246,0.502,0.051,0.614,9.0
55,0.0,0.0,0.0,0.096,22561,0.179,0.416,0.044,0.121,14.0
56,1.0,0.0,1.0,0.081,24684,0.1939999999999999,0.395,0.026,0.09,3.0
57,0.0,0.0,2.0,0.142,16145,0.364,0.405,0.085,0.13,12.0
58,1.0,0.0,3.0,0.1119999999999999,13138,0.482,0.3979999999999999,0.132,0.23,16.0
59,1.0,0.0,2.0,0.119,17577,0.318,0.337,0.069,0.161,6.0
60,1.0,1.0,2.0,0.1119999999999999,24969,0.256,0.3229999999999999,0.048,0.173,10.0
61,0.0,0.0,2.0,0.174,12524,0.424,0.42,0.122,0.306,31.0
62,1.0,0.0,1.0,0.135,16938,0.396,0.387,0.087,0.098,7.0
63,1.0,0.0,2.0,0.14,12014,0.541,0.4039999999999999,0.174,0.208,18.0
64,0.0,0.0,1.0,0.096,23920,0.185,0.364,0.034,0.059,0.0
65,0.0,0.0,1.0,0.078,15898,0.3339999999999999,0.419,0.068,0.153,15.0
66,0.0,1.0,7.0,0.119,14405,0.316,0.4,0.065,0.222,24.0
67,1.0,1.0,5.0,0.347,10559,0.303,0.409,0.069,0.3229999999999999,17.0
68,2.0,0.0,2.0,0.213,11993,0.294,0.434,0.048,0.422,20.0
69,1.0,0.0,16.0,0.1889999999999999,17213,0.179,0.429,0.042,0.256,22.0
70,0.0,0.0,5.0,0.088,22078,0.183,0.367,0.042,0.095,2.0
71,0.0,1.0,3.0,0.242,16022,0.195,0.421,0.0409999999999999,0.245,32.0
72,0.0,0.0,0.0,0.078,40107,0.051,0.387,0.0069999999999999,0.052,20.0
73,0.0,0.0,2.0,0.183,19709,0.156,0.424,0.011,0.157,23.0
74,0.0,0.0,2.0,0.069,34221,0.045,0.37,0.011,0.031,16.0
75,0.0,1.0,1.0,0.149,26185,0.109,0.3939999999999999,0.008,0.1369999999999999,25.0
76,2.0,0.0,1.0,0.047,29402,0.11,0.265,0.019,0.095,0.0
77,4.0,0.0,9.0,0.09,33364,0.09,0.2339999999999999,0.039,0.166,8.0
